TERYT Powiatu,Powiat,Bezpartyjni,TD,Lewica,PiS,Konfederacja,KO
221600,sztumski,1.9925210693754536,14.34950047440978,7.696600993469889,34.36959312384886,5.782218005246413,35.809566333649606
221500,wejherowski,1.7726563998232345,14.316326615693761,7.5867359275595545,28.66266999074483,8.276287593906599,39.38532347227201
221400,tczewski,1.7588388803489077,16.62853465842062,7.441103921638723,32.86740785757695,7.2820219497372465,34.02209273227756
221300,starogardzki,1.6568238815629803,14.657390178788123,6.808510638297872,39.30911738532481,7.290672275705849,30.27748564032036
221200,słupski,1.6520709057833058,13.220797901594958,8.442272708042475,31.651647840250458,7.3190337183229675,37.71417692600584
221100,pucki,1.8744551002615517,15.481096932709837,7.4165808036775775,29.295791392565583,7.430450978838075,38.50162479194738
221000,nowodworski,1.9908705934114281,14.095583787053842,7.100038497497662,29.44508606940549,6.423582467139637,40.944838585491944
220900,malborski,1.9226989846053062,15.954798558794629,9.053390108090403,28.558794628234523,6.675401244677366,37.83491647559777
220800,lęborski,1.5793848711554446,13.343185246759646,8.534220005541702,30.156091253348112,7.496690372833349,38.89042825036175
220700,kwidzyński,2.1019125036171835,13.321758345829057,11.048851708625996,33.07552679346539,7.33696367032331,33.11498697813906
220600,kościerski,1.7004560913237192,14.945559041417312,6.253460230418391,39.015580923255385,7.7219161108328285,30.363027602752368
220500,kartuski,1.7275042993651162,14.77300645228028,6.400558594204584,35.00782290494847,9.071983655947347,33.0191240932542
220400,gdański,1.6273726419926533,17.160585971228286,7.3817154732112815,22.736386120501674,7.317323030542506,43.776616762523595
220300,człuchowski,2.0955128691822944,13.423430263457597,8.985650292308861,32.3399893705869,7.284944195581201,35.87047300888315
220200,chojnicki,1.8621821164889252,13.99712879409352,7.6230516817063165,38.19319114027891,8.320344544708776,30.00410172272354
220100,bytowski,1.711353500617914,12.269625490301435,7.605717049057009,37.921121917145776,7.842136370963408,32.650045671914455
206300,Suwałki,1.8162901307966706,17.829964328180736,5.332936979785969,38.162901307966706,9.343043995243757,27.51486325802616
206200,Łomża,1.0058091286307054,15.495435684647301,3.6116182572614104,45.294605809128626,8.617427385892116,25.975103734439838
206100,Białystok,1.161056536797604,22.76015924469698,6.730307026733881,31.88468317454057,9.848027313177129,27.61576670405384
201400,zambrowski,0.9943049201755205,19.02250023340491,2.982914760526562,53.477733171505925,9.760993371300533,13.761553543086546
201300,wysokomazowiecki,1.0292357667977432,14.299880321422464,2.140536843904941,62.807317490169254,10.538553598905796,9.184475978799794
201200,suwalski,1.5271105010295127,18.840082361015785,4.501258293296728,48.718828643331044,11.53626172500572,14.876458476321208
201100,sokólski,1.1365455418600927,17.51240595485833,3.6369457339522975,51.397470785977276,10.104049943973108,16.2125820393789
201000,siemiatycki,1.0400313971742543,17.759026687598116,4.45447409733124,46.99764521193093,10.150117739403454,19.59870486656201
200900,sejneński,1.5788904509570674,22.23423813128582,5.709959987022819,42.04606899534984,8.370282253703904,20.060560181680547
200800,moniecki,1.1389648819161409,17.637206186142592,3.076321813410753,53.564848417173806,11.540394171179722,13.042264530176986
200700,łomżyński,1.0796873741036177,13.629038755942311,2.304407380549512,60.764644267182334,10.68809926677947,11.534122955442752
200600,kolneński,1.1165104709013074,15.602221450885109,2.9445794284391993,60.22793011685758,9.707277565660071,10.40148096725674
200500,hajnowski,1.0652586725950628,24.755685239220046,8.160807743967395,26.636098374322636,10.045852438516048,29.336297531378815
200400,grajewski,1.0644870028037827,17.017535522501547,3.7637219027705178,53.65679798507818,9.637409114669962,14.860048472176022
200300,bielski,0.8575441709174243,18.52960745176314,5.233976491461521,42.95113476750203,9.924595253936571,22.50314186441931
200200,białostocki,1.2424137643229323,19.63896076023322,4.278100370816392,42.02387056004006,10.566478675076606,22.250175869510784
200100,augustowski,1.4281077572216814,17.865772296152045,6.7113851923978505,47.5927729092286,9.36925240722709,17.032709437772727
186400,Tarnobrzeg,1.1234056930483993,13.14300194273165,6.0013514654953966,38.99822620153729,7.221893741025425,33.51212095616184
186300,Rzeszów,2.0708960059439985,14.796063828868133,8.645580447009426,33.27688838587609,9.987299886822122,31.22327144548023
186200,Przemyśl,1.827345035655513,11.694322545255075,6.167718047174986,41.363823368074605,8.413329676357652,30.53346132748217
186100,Krosno,2.065439672801636,14.08997955010225,6.441717791411043,40.95705521472392,8.139059304703476,28.30674846625767
182100,leski,1.7183570829840737,20.32690695725063,4.592264399473117,44.55155071248952,8.250508921087295,20.560411926715364
182000,tarnobrzeski,1.3219616204690832,16.662143826322932,3.962008141112619,55.74336111649545,8.416359759643342,13.894165535956581
181900,strzyżowski,1.6973079448456991,11.004596191726854,4.300722258699934,60.344714379514116,10.659881812212738,11.992777413000656
181800,stalowowolski,1.400269884419064,10.122621399096474,5.031975436606497,54.000352023155294,9.003970038918116,20.44081121780455
181700,sanocki,1.9804379433405295,16.18495836454157,5.209939639599947,50.88778252632507,8.168480415913997,17.56840111027889
